State,Year,Candidate,Constituency,Party,Criminal_Case,Education,Total_Assets,Liabilities
Bihar,2020,Ajay Kumar,BIBHUTIPUR,CPI(M),3,Post Graduate,10395548.0,"Rs 50,000"
Bihar,2020,Ajay Kumar,KURTHA,IND,0,12th Pass,630200.0,Rs 0
Bihar,2020,Ajay Kumar,SHEIKHPURA,Jan Adhikar Party (Loktantrik),0,Graduate,18707028.0,"Rs 54,000"
Bihar,2020,Ajay Kumar,ARWAL,IND,0,Graduate,7900000.0,Rs 0
Bihar,2020,Ajay Kumar,OBRA,Rashtriya Lok Samta Party,0,Graduate,21148000.0,Rs 0
Bihar,2020,Ajay Kumar,MINAPUR,LJP,12,12th Pass,8075000.0,"Rs 6,00,000"
Bihar,2020,Ajay Kumar,ISLAMPUR,IND,0,Post Graduate,17100220.0,"Rs 2,00,000"
Bihar,2020,Ajay Kumar,NALANDA,Jan Adhikar Party (Loktantrik),0,Graduate Professional,4830000.0,"Rs 1,32,000"
Bihar,2020,Ajay Kumar Bulganin,MOHIUDDINNAGAR,Jan Adhikar Party (Loktantrik),3,10th Pass,9235586.0,"Rs 6,88,487"
Bihar,2020,Ajay Kumar Kushwaha,VAISHALI,LJP,5,12th Pass,49687916.0,"Rs 55,85,000"
Bihar,2020,Ajay Kumar Paswan,PIRPAINTI (SC),IND,0,Graduate,1984138.0,Rs 0
Bihar,2020,Ajay Kumar S/O Narayan Singh,MUZAFFARPUR,IND,0,Graduate Professional,11170886.0,Rs 0
Bihar,2020,Ajay Kumar Shukla,PIPRA,IND,0,Literate,17660000.0,Rs 0
Bihar,2020,Ajay Kumar Singh,DINARA,IND,0,Graduate,5312000.0,"Rs 50,000"
Bihar,2020,Ajay Kumar Singh,JAMALPUR,INC,1,Doctorate,26886156.0,"Rs 2,49,845"
Bihar,2020,Ajay Kumar Singh,AMARPUR,IND,2,Graduate Professional,92696312.0,"Rs 91,00,000"
Bihar,2020,Ajay Kumar Sinha,ATRI,Rashtriya Lok Samta Party,0,Graduate Professional,67545000.0,"Rs 21,30,000"
Bihar,2020,Ajay Paswan,BODH GAYA (SC),Rashtriya Lok Samta Party,1,10th Pass,18811931.0,"Rs 43,60,587"
Bihar,2020,Ajay Paswan,PAROO,Peoples Party of India (Democratic),0,Literate,29000.0,"Rs 50,000"
Bihar,2020,Ajay Pratap,JAMUI,Rashtriya Lok Samta Party,0,Post Graduate,41521355.0,"Rs 8,03,747"
Bihar,2020,Ajay Singh,PRANPUR,IND,1,12th Pass,903000.0,Rs 0
Bihar,2020,Ajay Swarn,PURNIA,IND,0,12th Pass,73261.0,Rs 0
Bihar,2020,Ajay Yadav,ATRI,RJD,14,12th Pass,18559257.0,"Rs 2,66,403"
Bihar,2020,Ajay Yadav,TIKARI,Jan Adhikar Party (Loktantrik),2,8th Pass,23790258.0,"Rs 19,23,568"
Bihar,2020,Ajay Yadav,GAURA BAURAM,IND,0,Literate,4940000.0,Rs 0
Bihar,2020,Ajeet Kumar,ASTHAWAN,IND,0,Post Graduate,2633524.0,Rs 0
Bihar,2020,Ajeet Kumar Alias Bihari Lal,DARAUNDA,IND,0,Graduate,1325000.0,Rs 0
Bihar,2020,Ajeet Kumar Chaubey,KUCHAIKOTE,IND,0,Graduate Professional,144100.0,Rs 0
Bihar,2020,Ajeet Kumar Ray,BACHHWARA,IND,0,12th Pass,37793000.0,"Rs 2,00,000"
Bihar,2020,Ajeet Kumar Singh,FATUHA,The Plurals Party,0,Post Graduate,1639597.0,Rs 0
Bihar,2020,Ajit Kumar,FATUHA,IND,0,10th Pass,1367954.0,Rs 0
Bihar,2020,Ajit Kumar,HAJIPUR,IND,3,Doctorate,21469887.0,"Rs 66,66,648"
Bihar,2020,Ajit Kumar,KANTI,IND,2,Graduate Professional,37811484.0,"Rs 43,85,963"
Bihar,2020,Ajit Kumar Singh,DUMRAON,CPI(ML)(L),2,Doctorate,3748000.0,Rs 0
Bihar,2020,Ajit Prasad,MAHARAJGANJ,Rashtriya Lok Samta Party,1,8th Pass,4099490.0,"Rs 1,22,000"
Bihar,2020,Ajit Sharma,BHAGALPUR,INC,7,Graduate,432791009.0,"Rs 6,16,77,150"
Bihar,2020,Ajitesh Kumar,LAURIYA,The Plurals Party,0,Graduate Professional,4195968.0,Rs 0
Bihar,2020,Ajmeri Khatun,BIHPUR,Jan Adhikar Party (Loktantrik),0,12th Pass,220000.0,Rs 0
Bihar,2020,Akhauri Onkar Nath,GAYA TOWN,INC,7,Graduate,93202016.0,"Rs 42,85,594"
Bihar,2020,Akhilesh Kumar,AURAI,IND,1,Graduate Professional,25405000.0,"Rs 21,00,000"
Bihar,2020,Akhilesh Kumar,NARPATGANJ,IND,0,Doctorate,20255969.0,Rs 0
Bihar,2020,Akhilesh Kumar,PARSA,The Plurals Party,0,Post Graduate,53382.0,"Rs 2,98,000"
Bihar,2020,Akhilesh Kumar,LALGANJ,IND,0,Graduate,6884883.0,Rs 0
Bihar,2020,Akhilesh Kumar Mishra,SUGAULI,IND,2,10th Pass,62677450.0,"Rs 1,55,93,602"
Bihar,2020,Akhilesh Kumar Singh,DUMRAON,LJP,1,Graduate,13730536.0,Rs 0
Bihar,2020,Akhilesh Kumar Vidyarthi,BELDAUR,IND,1,Post Graduate,52700000.0,"Rs 12,85,000"
Bihar,2020,Akhileshwar Bhagat,SURYAGARHA,Bahujan Maha Party,0,10th Pass,9891000.0,"Rs 5,50,000"
Bihar,2020,Akhileshwar Kumar,CHIRAIA,IND,3,Post Graduate,2145145.0,Rs 0
Bihar,2020,Akhileshwar Mishra,GORIAKOTHI,Bhartiya Sablog Party,0,12th Pass,12187000.0,"Rs 12,31,105"
Bihar,2020,Akhileshwar Prasad Singh,NOKHA,Rashtriya Lok Samta Party,2,Graduate,19188969.0,Rs 0
Bihar,2020,Akhlaqur Rahman,FORBESGANJ,Jan Adhikar Party (Loktantrik),2,Graduate,861000.0,Rs 0
Bihar,2020,Akhtarul Iman,AMOUR,All India Majlis-E-Ittehadul Muslimeen,8,Post Graduate,7414055.0,"Rs 7,99,235"
Bihar,2020,Akhtarul Islam Shahin,SAMASTIPUR,RJD,5,12th Pass,6791857.0,Rs 0
Bihar,2020,Alam,CHHATAPUR,All India Majlis-E-Ittehadul Muslimeen,0,Post Graduate,19666000.0,"Rs 14,58,000"
Bihar,2020,Ali Ashraf Siddiqui,NATHNAGAR,RJD,0,Graduate,43103744.0,Rs 0
Bihar,2020,Alka Kumari,KHAGARIA,IND,0,10th Pass,260000.0,"Rs 20,000"
Bihar,2020,Alka Singh,GAYA TOWN,IND,0,Graduate,11963773.0,"Rs 12,65,000"
Bihar,2020,Allama Shibli Nomani Hashmi,WARISNAGAR,Janata Party,0,10th Pass,275000.0,Rs 0
Bihar,2020,Alok Kumar,NARPATGANJ,IND,4,Graduate,2829000.0,Rs 0
Bihar,2020,Alok Kumar,HARNAUT,IND,0,Graduate Professional,121955.0,Rs 0
Bihar,2020,Alok Kumar Mehta,UJIARPUR,RJD,3,Graduate Professional,73601800.0,"Rs 52,05,110"
Bihar,2020,Alok Kumar Sinh,KURHANI,Janta Dal Rashtravadi,0,10th Pass,160500.0,Rs 0
Bihar,2020,Alok Kumar Sinh,KURHANI : BYE ELECTION ON 05-12-2022,IND,0,12th Pass,10026100.0,Rs 0
